molecule,method,radius_angstrom,spacing_angstrom,source_shape,source_electrons,legacy_density
C10H8,charge3net,9.0,0.2,90x90x90,48.00000000,C10H8\tol_2e-4\diagmeth3\hart_tol_1e-5\c3n\H8C10_c3n_diagmeth3_9A_0p2A_init_rho.npy
C10H8,scdp,9.0,0.2,90x90x90,48.00000000,C10H8\tol_2e-4\diagmeth3\hart_tol_1e-5\scdp\H8C10_scdp_diagmeth3_9A_0p2A_init_rho.npy
C2H2,charge3net,7.0,0.2,70x70x70,10.00000000,C2H2\tol_2e-4\diagmeth3\hart_tol_1e-5\c3n\H2C2_c3n_diagmeth3_7A_0p2A_init_rho.npy
C2H2,scdp,7.0,0.2,70x70x70,10.00000000,C2H2\tol_2e-4\diagmeth3\hart_tol_1e-5\scdp\H2C2_scdp_diagmeth3_7A_0p2A_init_rho.npy
C2H4,charge3net,7.0,0.2,70x70x70,12.00000000,C2H4\tol_2e-4\diagmeth3\hart_tol_1e-5\c3n\H4C2_c3n_diagmeth3_7A_0p2A_init_rho.npy
C2H4,scdp,7.0,0.2,70x70x70,12.00000000,C2H4\tol_2e-4\diagmeth3\hart_tol_1e-5\scdp\H4C2_scdp_diagmeth3_7A_0p2A_init_rho.npy
C2H6,charge3net,7.0,0.2,70x70x70,14.00000000,C2H6\tol_2e-4\diagmeth3\hart_tol_1e-5\c3n\H6C2_c3n_diagmeth3_7A_0p2A_init_rho.npy
C2H6,scdp,7.0,0.2,70x70x70,14.00000000,C2H6\tol_2e-4\diagmeth3\hart_tol_1e-5\scdp\H6C2_scdp_diagmeth3_7A_0p2A_init_rho.npy
C3H8O,charge3net,9.0,0.2,90x90x90,26.00000000,C3H8O\tol_2e-4\diagmeth3\hart_tol_1e-5\c3n\H8C3O_c3n_diagmeth3_9A_0p2A_init_rho.npy
C3H8O,scdp,9.0,0.2,90x90x90,26.00000000,C3H8O\tol_2e-4\diagmeth3\hart_tol_1e-5\scdp\H8C3O_scdp_diagmeth3_9A_0p2A_init_rho.npy
C6H6,charge3net,9.0,0.2,90x90x90,30.00000000,C6H6\tol_2e-4\diagmeth3\hart_tol_1e-5\c3n\H6C6_c3n_diagmeth3_9A_0p2A_init_rho.npy
C6H6,scdp,9.0,0.2,90x90x90,30.00000000,C6H6\tol_2e-4\diagmeth3\hart_tol_1e-5\scdp\H6C6_scdp_diagmeth3_9A_0p2A_init_rho.npy
CH3CH2CH2OH,charge3net,9.0,0.2,90x90x90,26.00000000,CH3CH2CH2OH\tol_2e-4\diagmeth3\hart_tol_1e-5\c3n\H8C3O_c3n_diagmeth3_9A_0p2A_init_rho.npy
CH3CH2CH2OH,scdp,9.0,0.2,90x90x90,26.00000000,CH3CH2CH2OH\tol_2e-4\diagmeth3\hart_tol_1e-5\scdp\H8C3O_scdp_diagmeth3_9A_0p2A_init_rho.npy
CH3CH2OCH3,charge3net,9.0,0.2,90x90x90,26.00000000,CH3CH2OCH3\tol_2e-4\diagmeth3\hart_tol_1e-5\c3n\H8C3O_c3n_diagmeth3_9A_0p2A_init_rho.npy
CH3CH2OCH3,scdp,9.0,0.2,90x90x90,26.00000000,CH3CH2OCH3\tol_2e-4\diagmeth3\hart_tol_1e-5\scdp\H8C3O_scdp_diagmeth3_9A_0p2A_init_rho.npy
CH3CH2OH,charge3net,7.0,0.2,70x70x70,20.00000000,CH3CH2OH\tol_2e-4\diagmeth3\hart_tol_1e-5\c3n\H6C2O_c3n_diagmeth3_7A_0p2A_init_rho.npy
CH3CH2OH,scdp,7.0,0.2,70x70x70,20.00000000,CH3CH2OH\tol_2e-4\diagmeth3\hart_tol_1e-5\scdp\H6C2O_scdp_diagmeth3_7A_0p2A_init_rho.npy
CH3CHOHCH3,charge3net,9.0,0.2,90x90x90,26.00000000,CH3CHOHCH3\tol_2e-4\diagmeth3\hart_tol_1e-5\c3n\H8C3O_c3n_diagmeth3_9A_0p2A_init_rho.npy
CH3CHOHCH3,scdp,9.0,0.2,90x90x90,26.00000000,CH3CHOHCH3\tol_2e-4\diagmeth3\hart_tol_1e-5\scdp\H8C3O_scdp_diagmeth3_9A_0p2A_init_rho.npy
CH3CN,charge3net,7.0,0.2,70x70x70,16.00000000,CH3CN\tol_2e-4\diagmeth3\hart_tol_1e-5\c3n\H3C2N_c3n_diagmeth3_7A_0p2A_init_rho.npy
CH3CN,scdp,7.0,0.2,70x70x70,16.00000000,CH3CN\tol_2e-4\diagmeth3\hart_tol_1e-5\scdp\H3C2N_scdp_diagmeth3_7A_0p2A_init_rho.npy
CH4,charge3net,7.0,0.2,70x70x70,8.00000000,CH4\tol_2e-4\diagmeth3\hart_tol_1e-5\c3n\H4C_c3n_diagmeth3_7A_0p2A_init_rho.npy
CH4,scdp,7.0,0.2,70x70x70,8.00000000,CH4\tol_2e-4\diagmeth3\hart_tol_1e-5\scdp\H4C_scdp_diagmeth3_7A_0p2A_init_rho.npy
CO2,charge3net,7.0,0.2,70x70x70,16.00000000,CO2\tol_2e-4\diagmeth3\hart_tol_1e-5\c3n\CO2_c3n_diagmeth3_7A_0p2A_init_rho.npy
CO2,scdp,7.0,0.2,70x70x70,16.00000000,CO2\tol_2e-4\diagmeth3\hart_tol_1e-5\scdp\CO2_scdp_diagmeth3_7A_0p2A_init_rho.npy
H2O,charge3net,7.0,0.2,70x70x70,8.00000000,H2O\tol_2e-4\diagmeth3\hart_tol_1e-5\c3n\H2O_c3n_diagmeth3_7A_0p2A_init_rho.npy
H2O,scdp,7.0,0.2,70x70x70,8.00000000,H2O\tol_2e-4\diagmeth3\hart_tol_1e-5\scdp\H2O_scdp_diagmeth3_7A_0p2A_init_rho.npy
