"molecule","method","candidate","baseline_status","candidate_status","baseline_iterations","candidate_iterations","baseline_energy_ry","candidate_energy_ry","energy_difference_ry","baseline_initial_eigensolver_seconds","candidate_initial_eigensolver_seconds","baseline_diagonalization_seconds","candidate_diagonalization_seconds","baseline_solver_wall_seconds","candidate_solver_wall_seconds","candidate_process_wall_seconds","returncode"
"C10H8","charge3net","chebdav-15","converged","converged","17","8","-123.45957909","-123.45959419","-1.5099999998824387e-05","0.61901","2.433397","3.034019","3.372694","9.84","6.53","7.156022","0"
"C10H8","sad","chebdav-15","converged","converged","17","13","-123.45958054","-123.45959741","-1.686999999606087e-05","0.718369","2.320072","3.294669","3.819167","11.87","9.92","10.567072","0"
"C10H8","scdp","chebdav-15","converged","converged","23","10","-123.45959752","-123.45959742","1.000000082740371e-07","0.645598","2.436212","4.007919","3.633902","13.1","7.21","7.827344","0"
"C2H2","charge3net","chebdav-15","converged","converged","22","10","-24.998885","-24.99888503","-2.999999892949745e-08","0.426491","0.989723","2.43984","1.501504","7.92","3.76","4.367023","0"
"C2H2","sad","chebdav-15","converged","converged","24","13","-24.99888505","-24.99888503","1.999999810209374e-08","0.350403","1.05481","2.303246","1.723893","7.5","5.54","6.176047","0"
"C2H2","scdp","chebdav-15","converged","converged","24","8","-24.99888504","-24.99888486","1.8000000068241206e-07","0.377113","0.960633","2.429343","1.366794","8.07","3.47","4.077201","0"
"C2H4","charge3net","chebdav-15","converged","converged","17","8","-27.48030643","-27.48030762","-1.1900000025377722e-06","0.446313","0.956973","1.952506","1.351018","7.04","3.41","4.039734","0"
"C2H4","sad","chebdav-15","converged","converged","17","13","-27.48030668","-27.48030783","-1.1499999992281573e-06","0.38511","0.937086","1.833988","1.614033","6.65","5.53","6.132517","0"
"C2H4","scdp","chebdav-15","converged","converged","17","9","-27.48030593","-27.48030775","-1.8200000013735007e-06","0.497479","0.953896","2.111867","1.409681","6.96","3.61","4.207320","0"
"C2H6","charge3net","chebdav-15","converged","converged","24","13","-29.93817551","-29.9381758","-2.8999999912571184e-07","0.376195","1.262589","1.482912","2.003743","7.97","5.19","5.806665","0"
"C2H6","sad","chebdav-15","converged","converged","16","16","-29.93813154","-29.93817577","-4.423000000031152e-05","0.352725","1.163941","1.135793","2.084528","6.23","6.54","7.150910","0"
"C2H6","scdp","chebdav-15","converged","converged","23","15","-29.93817525","-29.93817582","-5.700000009767336e-07","0.362413","1.254683","1.539405","2.124072","8.73","6.31","6.921638","0"
"C3H8O","charge3net","chebdav-15","converged","converged","25","18","-75.71692303","-75.71692335","-3.199999980552093e-07","0.315542","2.030721","1.358294","2.673235","14.69","11.59","12.204825","0"
"C3H8O","sad","chebdav-15","converged","converged","24","13","-75.71692251","-75.71692286","-3.4999999343199306e-07","0.368422","2.145802","1.400439","2.613299","15.2","11.67","12.295217","0"
"C3H8O","scdp","chebdav-15","converged","converged","19","14","-75.71691219","-75.71692331","-1.1119999996367369e-05","0.377759","2.149028","1.114243","2.634471","12.16","9.97","10.582656","0"
"C6H6","charge3net","chebdav-15","converged","converged","21","11","-75.48733474","-75.48733532","-5.80000005356851e-07","0.574162","2.497908","3.196258","3.585429","10.96","7.29","7.881195","0"
"C6H6","sad","chebdav-15","converged","converged","22","14","-75.48733464","-75.48733538","-7.400000043844557e-07","0.509873","2.37377","3.539786","3.8036","12.18","9.98","10.577952","0"
"C6H6","scdp","chebdav-15","converged","converged","22","10","-75.48733508","-75.4873352","-1.2000000992884452e-07","0.531533","2.503929","3.32273","3.475442","11.93","6.95","7.552729","0"
"CH3CH2CH2OH","charge3net","chebdav-15","converged","converged","25","18","-75.71927673","-75.71927703","-2.9999999640040187e-07","0.312371","2.173196","1.396167","2.808383","13.91","11.15","11.775518","0"
