molecule,method,chebff_iterations,chebdav_iterations,chebff_energy_ry,chebdav_energy_ry,energy_difference_ry,chebff_scf_seconds,chebdav_scf_seconds,chebff_solver_wall_seconds,chebdav_solver_wall_seconds,solver_wall_speedup
C10H8,sad,17,13,-123.45958054,-123.45959741,-1.68700000e-05,8.210000,7.240000,11.870000,10.830000,1.096030
C10H8,charge3net,17,8,-123.45957909,-123.45959419,-1.51000000e-05,7.350000,6.020000,9.840000,7.770000,1.266409
C10H8,scdp,23,10,-123.45959752,-123.45959742,1.00000008e-07,10.180000,7.130000,13.100000,8.960000,1.462054
C2H2,sad,24,13,-24.99888505,-24.99888503,1.99999981e-08,5.530000,4.160000,7.500000,5.330000,1.407129
C2H2,charge3net,22,10,-24.99888500,-24.99888503,-2.99999989e-08,5.450000,3.330000,7.920000,4.460000,1.775785
C2H2,scdp,24,8,-24.99888504,-24.99888486,1.80000001e-07,5.690000,3.040000,8.070000,4.180000,1.930622
C2H4,sad,17,13,-27.48030668,-27.48030783,-1.15000000e-06,4.260000,3.990000,6.650000,5.140000,1.293774
C2H4,charge3net,17,8,-27.48030643,-27.48030762,-1.19000000e-06,4.610000,3.010000,7.040000,4.200000,1.676190
C2H4,scdp,17,9,-27.48030593,-27.48030775,-1.82000000e-06,4.530000,3.290000,6.960000,4.460000,1.560538
C2H6,sad,16,16,-29.93813154,-29.93817577,-4.42300000e-05,4.160000,5.220000,6.230000,6.860000,0.908163
C2H6,charge3net,24,13,-29.93817551,-29.93817580,-2.89999999e-07,5.830000,4.220000,7.970000,5.440000,1.465074
C2H6,scdp,23,15,-29.93817525,-29.93817582,-5.70000001e-07,6.590000,4.540000,8.730000,6.400000,1.364062
C3H8O,sad,24,13,-75.71692251,-75.71692286,-3.49999993e-07,11.970000,8.270000,15.200000,10.120000,1.501976
C3H8O,charge3net,25,18,-75.71692303,-75.71692335,-3.19999998e-07,11.760000,9.720000,14.690000,11.610000,1.265289
C3H8O,scdp,19,14,-75.71691219,-75.71692331,-1.11200000e-05,9.100000,9.250000,12.160000,11.190000,1.086685
C6H6,sad,22,14,-75.48733464,-75.48733538,-7.40000004e-07,9.280000,8.150000,12.180000,9.930000,1.226586
C6H6,charge3net,21,11,-75.48733474,-75.48733532,-5.80000005e-07,8.540000,7.160000,10.960000,9.000000,1.217778
C6H6,scdp,22,10,-75.48733508,-75.48733520,-1.20000010e-07,9.020000,6.840000,11.930000,8.580000,1.390443
CH3CH2CH2OH,sad,25,19,-75.71927678,-75.71927701,-2.29999998e-07,11.280000,10.890000,14.950000,12.720000,1.175314
CH3CH2CH2OH,charge3net,25,18,-75.71927673,-75.71927703,-2.99999996e-07,11.000000,10.580000,13.910000,12.480000,1.114583
CH3CH2CH2OH,scdp,27,14,-75.71927690,-75.71927701,-1.10000002e-07,12.210000,8.540000,15.550000,10.380000,1.498073
CH3CH2OCH3,sad,22,12,-75.68313172,-75.68313263,-9.09999997e-07,9.790000,7.400000,13.170000,9.240000,1.425325
CH3CH2OCH3,charge3net,30,19,-75.68313349,-75.68313351,-2.00000017e-08,14.150000,10.420000,17.580000,12.220000,1.438625
CH3CH2OCH3,scdp,24,13,-75.68313290,-75.68313338,-4.79999997e-07,10.780000,7.810000,14.380000,9.650000,1.490155
CH3CH2OH,sad,21,15,-61.89157615,-61.89157920,-3.05000000e-06,5.490000,4.450000,7.590000,6.190000,1.226171
CH3CH2OH,charge3net,24,17,-61.89157863,-61.89157919,-5.60000004e-07,6.070000,5.300000,8.160000,6.990000,1.167382
CH3CH2OH,scdp,24,12,-61.89157862,-61.89157921,-5.90000006e-07,6.240000,3.800000,8.320000,5.510000,1.509982
CH3CHOHCH3,sad,24,19,-75.69383071,-75.69383163,-9.20000005e-07,16.610000,14.920000,19.280000,17.240000,1.118329
CH3CHOHCH3,charge3net,24,20,-75.69383064,-75.69383164,-9.99999997e-07,17.480000,15.240000,19.820000,17.490000,1.133219
CH3CHOHCH3,scdp,24,19,-75.69383061,-75.69383163,-1.02000000e-06,17.230000,15.530000,19.150000,17.770000,1.077659
CH3CN,sad,20,16,-46.21622469,-46.21622721,-2.52000000e-06,5.220000,4.720000,7.310000,6.420000,1.138629
CH3CN,charge3net,24,12,-46.21622696,-46.21622717,-2.10000003e-07,6.190000,3.570000,8.280000,5.290000,1.565217
CH3CN,scdp,25,12,-46.21622707,-46.21622717,-1.00000001e-07,6.260000,3.600000,8.540000,5.320000,1.605263
CH4,sad,22,18,-16.16944909,-16.16944914,-5.00000006e-08,5.670000,5.360000,7.720000,7.020000,1.099715
CH4,charge3net,17,9,-16.16944446,-16.16944903,-4.57000000e-06,4.550000,3.720000,6.620000,4.950000,1.337374
CH4,scdp,18,12,-16.16944694,-16.16944915,-2.21000000e-06,5.040000,4.130000,7.120000,5.830000,1.221269
CO2,sad,20,10,-75.11394185,-75.11394186,-9.99999372e-09,4.560000,3.030000,6.520000,4.750000,1.372632
CO2,charge3net,17,11,-75.11394157,-75.11394183,-2.60000007e-07,4.320000,3.480000,6.650000,5.180000,1.283784
CO2,scdp,21,12,-75.11394188,-75.11394185,2.99999954e-08,5.050000,3.590000,7.090000,4.760000,1.489496
H2O,sad,22,13,-34.32030326,-34.32030374,-4.79999997e-07,5.430000,4.140000,7.360000,5.820000,1.264605
H2O,charge3net,24,13,-34.32030364,-34.32030377,-1.30000004e-07,5.990000,4.160000,7.930000,5.310000,1.493409
H2O,scdp,24,12,-34.32030368,-34.32030374,-5.99999979e-08,5.900000,4.010000,7.850000,5.650000,1.389381
