molecule,method,status,iterations,total_energy_ry,initial_density_seconds,scf_seconds,solver_wall_seconds,process_wall_seconds,returncode
C10H8,sad,converged,13,-123.45959741,0.025508,7.24,10.83,11.717035,0
C10H8,scdp,converged,10,-123.45959742,0.062069,7.13,8.96,9.674536,0
C10H8,charge3net,converged,8,-123.45959419,0.054256,6.02,7.77,8.440291,0
C2H2,sad,converged,13,-24.99888503,0.003061,4.16,5.33,5.999305,0
C2H2,scdp,converged,8,-24.99888486,0.033449,3.04,4.18,4.830563,0
C2H2,charge3net,converged,10,-24.99888503,0.032769,3.33,4.46,5.116579,0
C2H4,sad,converged,13,-27.48030783,0.00517,3.99,5.14,5.755119,0
C2H4,scdp,converged,9,-27.48030775,0.032773,3.29,4.46,5.119544,0
C2H4,charge3net,converged,8,-27.48030762,0.035167,3.01,4.2,4.836120,0
C2H6,sad,converged,16,-29.93817577,0.006799,5.22,6.86,7.484648,0
C2H6,scdp,converged,15,-29.93817582,0.034968,4.54,6.4,7.028084,0
C2H6,charge3net,converged,13,-29.9381758,0.034071,4.22,5.44,6.049922,0
C3H8O,sad,converged,13,-75.71692286,0.020841,8.27,10.12,10.778225,0
C3H8O,scdp,converged,14,-75.71692331,0.073204,9.25,11.19,11.897805,0
C3H8O,charge3net,converged,18,-75.71692335,0.075045,9.72,11.61,12.272715,0
C6H6,sad,converged,14,-75.48733538,0.019239,8.15,9.93,10.566810,0
C6H6,scdp,converged,10,-75.4873352,0.067949,6.84,8.58,9.200904,0
C6H6,charge3net,converged,11,-75.48733532,0.065889,7.16,9.0,9.625810,0
CH3CH2CH2OH,sad,converged,19,-75.71927701,0.017888,10.89,12.72,13.392259,0
CH3CH2CH2OH,scdp,converged,14,-75.71927701,0.075162,8.54,10.38,11.033499,0
CH3CH2CH2OH,charge3net,converged,18,-75.71927703,0.073904,10.58,12.48,13.176472,0
CH3CH2OCH3,sad,converged,12,-75.68313263,0.017077,7.4,9.24,9.880704,0
CH3CH2OCH3,scdp,converged,13,-75.68313338,0.07502,7.81,9.65,10.310255,0
CH3CH2OCH3,charge3net,converged,19,-75.68313351,0.073329,10.42,12.22,12.887569,0
CH3CH2OH,sad,converged,15,-61.8915792,0.008065,4.45,6.19,6.822781,0
CH3CH2OH,scdp,converged,12,-61.89157921,0.034788,3.8,5.51,6.154250,0
CH3CH2OH,charge3net,converged,17,-61.89157919,0.035513,5.3,6.99,7.618033,0
CH3CHOHCH3,sad,converged,19,-75.69383163,0.017049,14.92,17.24,17.894539,0
CH3CHOHCH3,scdp,converged,19,-75.69383163,0.07252,15.53,17.77,18.408891,0
CH3CHOHCH3,charge3net,converged,20,-75.69383164,0.075638,15.24,17.49,18.129961,0
CH3CN,sad,converged,16,-46.21622721,0.005688,4.72,6.42,7.039908,0
CH3CN,scdp,converged,12,-46.21622717,0.038328,3.6,5.32,5.998430,0
CH3CN,charge3net,converged,12,-46.21622717,0.03322,3.57,5.29,6.099790,0
CH4,sad,converged,18,-16.16944914,0.004045,5.36,7.02,7.648175,0
CH4,scdp,converged,12,-16.16944915,0.032099,4.13,5.83,6.460878,0
CH4,charge3net,converged,9,-16.16944903,0.032402,3.72,4.95,5.595352,0
CO2,sad,converged,10,-75.11394186,0.004867,3.03,4.75,5.401855,0
CO2,scdp,converged,12,-75.11394185,0.033325,3.59,4.76,5.414449,0
CO2,charge3net,converged,11,-75.11394183,0.039476,3.48,5.18,5.903515,0
H2O,sad,converged,13,-34.32030374,0.002417,4.14,5.82,6.472260,0
H2O,scdp,converged,12,-34.32030374,0.032236,4.01,5.65,6.287626,0
H2O,charge3net,converged,13,-34.32030377,0.031917,4.16,5.31,5.943559,0
