molecule,method,status,iterations,total_energy_ry,initial_density_seconds,scf_seconds,solver_wall_seconds,process_wall_seconds,returncode
C10H8,sad,converged,17,-123.45958054,0.026944,8.21,11.87,12.505550,0
C10H8,scdp,converged,23,-123.45959752,0.057444,10.18,13.1,13.750013,0
C10H8,charge3net,converged,17,-123.45957909,0.054702,7.35,9.84,10.456844,0
C2H2,sad,converged,24,-24.99888505,0.003442,5.53,7.5,8.116895,0
C2H2,scdp,converged,24,-24.99888504,0.034737,5.69,8.07,8.697402,0
C2H2,charge3net,converged,22,-24.998885,0.035188,5.45,7.92,8.554800,0
C2H4,sad,converged,17,-27.48030668,0.007512,4.26,6.65,7.255147,0
C2H4,scdp,converged,17,-27.48030593,0.036797,4.53,6.96,7.609688,0
C2H4,charge3net,converged,17,-27.48030643,0.038593,4.61,7.04,7.713112,0
C2H6,sad,converged,16,-29.93813154,0.005297,4.16,6.23,6.853987,0
C2H6,scdp,converged,23,-29.93817525,0.03457,6.59,8.73,9.361705,0
C2H6,charge3net,converged,24,-29.93817551,0.037639,5.83,7.97,8.609141,0
C3H8O,sad,converged,24,-75.71692251,0.019823,11.97,15.2,15.920989,0
C3H8O,scdp,converged,19,-75.71691219,0.070264,9.1,12.16,12.829700,0
C3H8O,charge3net,converged,25,-75.71692303,0.071322,11.76,14.69,15.309744,0
C6H6,sad,converged,22,-75.48733464,0.0166,9.28,12.18,12.797411,0
C6H6,scdp,converged,22,-75.48733508,0.066851,9.02,11.93,12.542421,0
C6H6,charge3net,converged,21,-75.48733474,0.068871,8.54,10.96,11.560146,0
CH3CH2CH2OH,sad,converged,25,-75.71927678,0.020547,11.28,14.95,15.586023,0
CH3CH2CH2OH,scdp,converged,27,-75.7192769,0.073395,12.21,15.55,16.194870,0
CH3CH2CH2OH,charge3net,converged,25,-75.71927673,0.074002,11.0,13.91,14.581293,0
CH3CH2OCH3,sad,converged,22,-75.68313172,0.02089,9.79,13.17,13.798323,0
CH3CH2OCH3,scdp,converged,24,-75.6831329,0.075099,10.78,14.38,15.033822,0
CH3CH2OCH3,charge3net,converged,30,-75.68313349,0.069383,14.15,17.58,18.461867,0
CH3CH2OH,sad,converged,21,-61.89157615,0.008385,5.49,7.59,8.222595,0
CH3CH2OH,scdp,converged,24,-61.89157862,0.035129,6.24,8.32,8.937717,0
CH3CH2OH,charge3net,converged,24,-61.89157863,0.035505,6.07,8.16,8.790504,0
CH3CHOHCH3,sad,converged,24,-75.69383071,0.016807,16.61,19.28,19.918490,0
CH3CHOHCH3,scdp,converged,24,-75.69383061,0.073,17.23,19.15,19.831622,0
CH3CHOHCH3,charge3net,converged,24,-75.69383064,0.068539,17.48,19.82,20.464317,0
CH3CN,sad,converged,20,-46.21622469,0.004492,5.22,7.31,7.913373,0
CH3CN,scdp,converged,25,-46.21622707,0.035389,6.26,8.54,9.165435,0
CH3CN,charge3net,converged,24,-46.21622696,0.036143,6.19,8.28,8.893568,0
CH4,sad,converged,22,-16.16944909,0.005971,5.67,7.72,8.346515,0
CH4,scdp,converged,18,-16.16944694,0.034335,5.04,7.12,7.737109,0
CH4,charge3net,converged,17,-16.16944446,0.032735,4.55,6.62,7.260484,0
CO2,sad,converged,20,-75.11394185,0.002854,4.56,6.52,7.147730,0
CO2,scdp,converged,21,-75.11394188,0.034307,5.05,7.09,7.711313,0
CO2,charge3net,converged,17,-75.11394157,0.034825,4.32,6.65,7.271695,0
H2O,sad,converged,22,-34.32030326,0.002529,5.43,7.36,7.976600,0
H2O,scdp,converged,24,-34.32030368,0.033825,5.9,7.85,8.456719,0
H2O,charge3net,converged,24,-34.32030364,0.032544,5.99,7.93,8.577209,0
