Z,element,selected_local_l,minimum_margin_Ha,ionic_charge,ae_energy_Ha,pseudo_energy_Ha,input
1,H,0,,1.0,-0.45893,-0.45837,reduced-lmax
2,He,0,,2.0,-2.89307,-2.8679,default
3,Li,2,0.00309796786,1.0,-7.45219,-0.24732,default
4,Be,2,0.0195579893,2.0,-14.63285,-0.99958,default
5,B,2,0.0398362652,3.0,-24.60317,-2.60604,default
6,C,2,0.0804332414,4.0,-37.76478,-5.36415,default
7,N,2,0.143513453,5.0,-54.453,-9.64695,default
8,O,2,0.234993541,6.0,-75.00178,-15.74216,default
9,F,2,0.335282441,7.0,-99.74431,-23.94561,default
10,Ne,2,0.444486727,8.0,-129.01338,-34.51266,default
11,Na,2,0.0273488456,1.0,-162.38678,-2.6297,default
12,Mg,2,0.0488729236,2.0,-200.27972,-1.39045,default
13,Al,2,0.0909876468,3.0,-242.68455,-1.93705,default
14,Si,2,0.141304819,4.0,-289.83668,-3.74151,default
15,P,2,0.196189931,5.0,-341.90197,-6.40144,default
16,S,2,0.255021921,6.0,-399.0457,-10.076,default
17,Cl,2,0.315871449,7.0,-461.43307,-14.92594,default
18,Ar,2,0.377422889,8.0,-529.22958,-21.09733,default
19,K,1,0.00597176485,1.0,-602.08644,-0.47286,reduced-lmax
20,Ca,0,0.00841191985,2.0,-680.3248,-1.47098,default
21,Sc,1,0.0118479815,3.0,-764.05598,-1.58013,default
22,Ti,1,0.0115980861,4.0,-853.56399,-3.236,default
23,V,1,0.00917998068,5.0,-949.00633,-5.72947,default
24,Cr,1,0.00826124763,6.0,-1050.52738,-9.15914,default
25,Mn,0,0.00779453123,7.0,-1158.29515,-13.6725,default
26,Fe,0,0.00739763855,8.0,-1272.44909,-19.37546,default
27,Co,0,0.00690519764,9.0,-1393.14523,-26.22252,default
28,Ni,0,0.00667735184,10.0,-1520.53638,-34.54195,default
29,Cu,0,0.00445401785,11.0,-1654.84831,-43.90981,default
30,Zn,0,0.00604893843,12.0,-1796.01785,-55.32941,default
31,Ga,1,0.0213697308,3.0,-1943.93685,-2.09612,reduced-lmax
32,Ge,1,0.036811796,4.0,-2098.83215,-3.77402,reduced-lmax
33,As,2,0.0625583711,5.0,-2260.80545,-6.15069,default
34,Se,2,0.0548814377,6.0,-2429.96237,-9.32105,default
35,Br,2,0.119865264,7.0,-2606.41157,-13.38704,default
36,Kr,2,0.12255164,8.0,-2790.26402,-18.43721,default
